dataset,dataset_label,source_dataset_label,kg_entity,decision,method,evidence_rule,fallback_behavior,candidate_count,candidates
audioset,Battle cry,Battle cry,battle cry,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Children shouting,Children shouting,children shouting,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Screaming,Screaming,screaming,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Whispering,Whispering,whispering,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Laughter,Laughter,laughter,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Baby laughter,Baby laughter,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Giggle,Giggle,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Snicker,Snicker,snicker,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Belly laugh,Belly laugh,belly laugh,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Chuckle, chortle","Chuckle, chortle",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Crying, sobbing","Crying, sobbing",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Baby cry, infant cry","Baby cry, infant cry",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Whimper,Whimper,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Wail, moan","Wail, moan",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Sigh,Sigh,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Singing,Singing,singing,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Choir,Choir,choir,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Yodeling,Yodeling,yodeling,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Chant,Chant,chant,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Mantra,Mantra,mantra,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Male singing,Male singing,male singing,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Female singing,Female singing,female singing,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Child singing,Child singing,child singing,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Synthetic singing,Synthetic singing,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Rapping,Rapping,rapping,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Humming,Humming,humming,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Groan,Groan,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Grunt,Grunt,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Whistling,Whistling,whistling,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Breathing,Breathing,breathing,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Wheeze,Wheeze,wheeze,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Snoring,Snoring,snoring,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Gasp,Gasp,gasp,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Pant,Pant,pant,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Snort,Snort,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Cough,Cough,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Throat clearing,Throat clearing,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Sneeze,Sneeze,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Sniff,Sniff,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Run,Run,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Shuffle,Shuffle,shuffle,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Walk, footsteps","Walk, footsteps",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Chewing, mastication","Chewing, mastication",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Biting,Biting,biting,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Gargling,Gargling,gargling,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Stomach rumble,Stomach rumble,stomach rumble,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Burping, eructation","Burping, eructation",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Hiccup,Hiccup,hiccup,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Fart,Fart,fart,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Hands,Hands,hands,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Finger snapping,Finger snapping,finger snapping,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Clapping,Clapping,clapping,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Heart sounds, heartbeat","Heart sounds, heartbeat",heart sounds heartbeat,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,heart sounds heartbeat
audioset,Heart murmur,Heart murmur,heart murmur,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Cheering,Cheering,cheering,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Applause,Applause,applause,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Chatter,Chatter,chatter,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Crowd,Crowd,crowd,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Hubbub, speech noise, speech babble","Hubbub, speech noise, speech babble",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Children playing,Children playing,children playing,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Animal,Animal,animal,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Domestic animals, pets","Domestic animals, pets",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Dog,Dog,dog,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Bark,Bark,bark,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Yip,Yip,yip,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Howl,Howl,howl,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Bow-wow,Bow-wow,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Growling,Growling,growling,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Whimper (dog),Whimper (dog),,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Cat,Cat,cat,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Purr,Purr,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Meow,Meow,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Hiss,Hiss,hiss,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Caterwaul,Caterwaul,caterwaul,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Livestock, farm animals, working animals","Livestock, farm animals, working animals",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Horse,Horse,horse,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Clip-clop,Clip-clop,clip-clop,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Neigh, whinny","Neigh, whinny",neigh whinny,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,neigh whinny
audioset,"Cattle, bovinae","Cattle, bovinae",cattle or bovinae,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,cattle or bovinae
audioset,Moo,Moo,moo,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Cowbell,Cowbell,cowbell,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Pig,Pig,pig,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Oink,Oink,oink,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Goat,Goat,goat,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Bleat,Bleat,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Sheep,Sheep,sheep,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Fowl,Fowl,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Chicken, rooster","Chicken, rooster",chicken or rooster,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,chicken or rooster
audioset,Cluck,Cluck,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Crowing, cock-a-doodle-doo","Crowing, cock-a-doodle-doo",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Turkey,Turkey,turkey,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Gobble,Gobble,gobble,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Duck,Duck,duck,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Quack,Quack,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Goose,Goose,goose,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Honk,Honk,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Wild animals,Wild animals,wild animal,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,wild animal
audioset,"Roaring cats (lions, tigers)","Roaring cats (lions, tigers)",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Roar,Roar,roar,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Bird,Bird,bird,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Bird vocalization, bird call, bird song","Bird vocalization, bird call, bird song",bird vocalization call or song,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,bird vocalization call or song
audioset,"Chirp, tweet","Chirp, tweet",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Squawk,Squawk,squawk,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Pigeon, dove","Pigeon, dove",pigeon dove,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,pigeon dove
audioset,Coo,Coo,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Crow,Crow,crow,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Caw,Caw,caw,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Owl,Owl,owl,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Hoot,Hoot,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Bird flight, flapping wings","Bird flight, flapping wings",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Canidae, dogs, wolves","Canidae, dogs, wolves",canidae dogs wolves,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,canidae dogs wolves
audioset,"Rodents, rats, mice","Rodents, rats, mice",rodents rats mice,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,rodents rats mice
audioset,Mouse,Mouse,mouse,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Patter,Patter,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Insect,Insect,insect,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Cricket,Cricket,cricket,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Mosquito,Mosquito,mosquito,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Fly, housefly","Fly, housefly",fly housefly,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,fly housefly
audioset,Buzz,Buzz,buzz,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Bee, wasp, etc.","Bee, wasp, etc.",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Frog,Frog,frog,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Croak,Croak,croak,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Snake,Snake,snake,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Rattle,Rattle,rattle,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Whale vocalization,Whale vocalization,whale vocalization,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Music,Music,music,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Musical instrument,Musical instrument,musical instrument,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Plucked string instrument,Plucked string instrument,plucked string instrument,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Guitar,Guitar,guitar,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Electric guitar,Electric guitar,electric guitar,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Bass guitar,Bass guitar,bass guitar,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Acoustic guitar,Acoustic guitar,acoustic guitar,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Steel guitar, slide guitar","Steel guitar, slide guitar",steel guitar or slide guitar,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,steel guitar or slide guitar
audioset,Tapping (guitar technique),Tapping (guitar technique),tapping,accepted,unique_token_signature,"After fixed token normalization, exactly one AKG entity has the same content-token signature; no first/last-word fallback is used.",use_mapped_AKG_entity,1,tapping
audioset,Strum,Strum,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Banjo,Banjo,banjo,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Sitar,Sitar,sitar,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Mandolin,Mandolin,mandolin,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Zither,Zither,zither,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Ukulele,Ukulele,ukulele,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Keyboard (musical),Keyboard (musical),keyboard (musical),accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
